id,city,states_id
1,Fort Lauderdale,1
2,Las Vegas,2
3,Seattle,3
4,New York,4
5,Los Angeles,5
6,Cordova,6
7,Washington,7
8,Chicago,8
9,Reno,2
10,Boston,9
11,Denver,10
12,Dallas/Fort Worth,11
13,Charlotte,12
14,Fresno,5
15,Philadelphia,13
16,Bloomington/Normal,8
17,Phoenix,14
18,Norfolk,15
19,Pasco/Kennewick/Richland,3
20,Nashville,16
21,Fargo,17
22,Baltimore,18
23,Rapid City,19
24,Victoria,11
25,Boise,20
26,Evansville,21
27,Detroit,22
28,Atlanta,23
29,Honolulu,24
30,Raleigh/Durham,12
31,Portland,25
32,Hartford,26
33,Charleston,27
34,Prescott,14
35,Columbus,28
36,St. George,29
37,Austin,11
38,Indianapolis,21
39,Houston,11
40,Colorado Springs,10
41,San Jose,5
42,Albany,4
43,San Francisco,5
44,Salt Lake City,29
45,Rochester,4
46,Orlando,1
47,Kansas City,30
48,Minneapolis,31
49,Dallas,11
50,Albuquerque,32
51,Harlingen/San Benito,11
52,Tulsa,33
53,Richmond,15
54,Savannah,23
55,Tampa,1
56,West Palm Beach/Palm Beach,1
57,Allentown/Bethlehem/Easton,13
58,Fort Myers,1
59,Gulfport/Biloxi,34
60,Sanford,1
61,Spokane,3
62,Jamestown,17
63,Milwaukee,35
64,Burbank,5
65,Santa Rosa,5
66,Kona,24
67,Juneau,6
68,Miami,1
69,Grand Rapids,22
70,Dayton,28
71,Sitka,6
72,San Diego,5
73,Harrisburg,13
74,Moline,8
75,Oakland,5
76,North Platte,36
77,Columbia,27
78,San Juan,37
79,Lihue,24
80,Jacksonville,1
81,Newark,38
82,Fayetteville,39
83,Scottsbluff,36
84,Des Moines,40
85,Cedar Rapids/Iowa City,40
86,Cleveland,28
87,St. Louis,30
88,Oklahoma City,33
89,Palm Springs,5
90,Madison,35
91,Memphis,16
92,Sacramento,5
93,Ontario,5
94,Kotzebue,6
95,Vernal,29
96,Long Beach,5
97,San Antonio,11
98,Charlotte Amalie,41
99,Greer,27
100,Bristol/Johnson City/Kingsport,16
101,Missoula,42
102,Atlantic City,38
103,Charleston/Dunbar,43
104,Brunswick,23
105,El Paso,11
106,Twin Falls,20
107,Cincinnati,28
108,Pittsburgh,13
109,Monterey,5
110,New Orleans,44
111,Traverse City,22
112,Pellston,22
113,Bend/Redmond,25
114,Appleton,35
115,Kahului,24
116,Brownsville,11
117,Aspen,10
118,Wichita,45
119,Killeen,11
120,Fort Wayne,21
121,Omaha,36
122,Burlington,46
123,Jackson,47
124,Providence,48
125,International Falls,31
126,Idaho Falls,20
127,Rochester,31
128,Sioux Falls,19
129,Minot,17
130,Medford,25
131,Pensacola,1
132,Tallahassee,1
133,Louisville,49
134,Knoxville,16
135,Cody,47
136,Greensboro/High Point,12
137,Anchorage,6
138,Portland,50
139,Fairbanks,6
140,Asheville,12
141,Santa Ana,5
142,Montrose/Delta,10
143,New Bern/Morehead/Beaufort,12
144,Panama City,1
145,Grand Forks,17
146,Tucson,14
147,Eugene,25
148,Ogdensburg,4
